id,wkt
gh197,SRID=4326;POINT(-0.2282591 11.1216506)
gh198,SRID=4326;POINT(-0.2240925 11.1216506)
gh199,SRID=4326;POINT(-0.2199258 11.1216506)
gh200,SRID=4326;POINT(-0.2157591 11.1216506)
gh201,SRID=4326;POINT(-0.2115925 11.1216506)
gh202,SRID=4326;POINT(-0.2074258 11.1216506)
gh203,SRID=4326;POINT(-0.2032591 11.1216506)
gh204,SRID=4326;POINT(-0.1990925 11.1216506)
gh205,SRID=4326;POINT(-0.1949258 11.1216506)
gh206,SRID=4326;POINT(-0.1907591 11.1216506)
gh207,SRID=4326;POINT(-0.1865925 11.1216506)
gh208,SRID=4326;POINT(-0.1782591 11.1216506)
gh209,SRID=4326;POINT(-0.1740925 11.1216506)
gh210,SRID=4326;POINT(-0.1615925 11.1216506)
gh211,SRID=4326;POINT(-0.1574258 11.1216506)
gh212,SRID=4326;POINT(-0.1532591 11.1216506)
gh213,SRID=4326;POINT(-0.1490925 11.1216506)
gh214,SRID=4326;POINT(-0.1449258 11.1216506)
gh215,SRID=4326;POINT(-0.2782591 11.1174839)
gh216,SRID=4326;POINT(-0.2740925 11.1174839)
gh217,SRID=4326;POINT(-0.2699258 11.1174839)
gh218,SRID=4326;POINT(-0.2615925 11.1174839)
gh219,SRID=4326;POINT(-0.2574258 11.1174839)
gh220,SRID=4326;POINT(-0.2449258 11.1174839)
gh221,SRID=4326;POINT(-0.2407591 11.1174839)
gh222,SRID=4326;POINT(-0.2365925 11.1174839)
gh223,SRID=4326;POINT(-0.2324258 11.1174839)
gh224,SRID=4326;POINT(-0.2282591 11.1174839)
gh225,SRID=4326;POINT(-0.2240925 11.1174839)
gh226,SRID=4326;POINT(-0.2199258 11.1174839)
gh227,SRID=4326;POINT(-0.2157591 11.1174839)
gh228,SRID=4326;POINT(-0.2074258 11.1174839)
gh229,SRID=4326;POINT(-0.2032591 11.1174839)
gh230,SRID=4326;POINT(-0.1907591 11.1174839)
gh231,SRID=4326;POINT(-0.1865925 11.1174839)
gh232,SRID=4326;POINT(-0.1824258 11.1174839)
gh233,SRID=4326;POINT(-0.1782591 11.1174839)
gh234,SRID=4326;POINT(-0.1740925 11.1174839)
gh235,SRID=4326;POINT(-0.1699258 11.1174839)
gh236,SRID=4326;POINT(-0.1574258 11.1174839)
gh237,SRID=4326;POINT(-0.1532591 11.1174839)
gh238,SRID=4326;POINT(-0.1490925 11.1174839)
gh239,SRID=4326;POINT(-0.1449258 11.1174839)
gh240,SRID=4326;POINT(-0.3032591 11.1133172)
gh241,SRID=4326;POINT(-0.2990925 11.1133172)
gh242,SRID=4326;POINT(-0.2865925 11.1133172)
gh243,SRID=4326;POINT(-0.2824258 11.1133172)
gh244,SRID=4326;POINT(-0.2782591 11.1133172)
gh245,SRID=4326;POINT(-0.2740925 11.1133172)
gh246,SRID=4326;POINT(-0.2699258 11.1133172)
gh247,SRID=4326;POINT(-0.2657591 11.1133172)
gh248,SRID=4326;POINT(-0.2615925 11.1133172)
gh249,SRID=4326;POINT(-0.2574258 11.1133172)
gh250,SRID=4326;POINT(-0.2532591 11.1133172)
gh251,SRID=4326;POINT(-0.2490925 11.1133172)
gh252,SRID=4326;POINT(-0.2449258 11.1133172)
gh253,SRID=4326;POINT(-0.2407591 11.1133172)
gh254,SRID=4326;POINT(-0.2365925 11.1133172)
gh255,SRID=4326;POINT(-0.2282591 11.1133172)
gh256,SRID=4326;POINT(-0.2240925 11.1133172)
gh257,SRID=4326;POINT(-0.2199258 11.1133172)
gh258,SRID=4326;POINT(-0.2115925 11.1133172)
gh259,SRID=4326;POINT(-0.2074258 11.1133172)
gh260,SRID=4326;POINT(-0.1990925 11.1133172)
gh261,SRID=4326;POINT(-0.1949258 11.1133172)
gh262,SRID=4326;POINT(-0.1907591 11.1133172)
gh263,SRID=4326;POINT(-0.1824258 11.1133172)
gh264,SRID=4326;POINT(-0.1782591 11.1133172)
gh265,SRID=4326;POINT(-0.1657591 11.1133172)
gh266,SRID=4326;POINT(-0.1615925 11.1133172)
gh267,SRID=4326;POINT(-0.1574258 11.1133172)
gh268,SRID=4326;POINT(-0.3199258 11.1091506)
gh269,SRID=4326;POINT(-0.3074258 11.1091506)
gh270,SRID=4326;POINT(-0.3032591 11.1091506)
gh271,SRID=4326;POINT(-0.2990925 11.1091506)
gh272,SRID=4326;POINT(-0.2824258 11.1091506)
gh273,SRID=4326;POINT(-0.2782591 11.1091506)
gh274,SRID=4326;POINT(-0.2740925 11.1091506)
gh275,SRID=4326;POINT(-0.2699258 11.1091506)
gh276,SRID=4326;POINT(-0.2657591 11.1091506)
gh277,SRID=4326;POINT(-0.2615925 11.1091506)
gh278,SRID=4326;POINT(-0.2574258 11.1091506)
gh279,SRID=4326;POINT(-0.2532591 11.1091506)
gh280,SRID=4326;POINT(-0.2490925 11.1091506)
gh281,SRID=4326;POINT(-0.2449258 11.1091506)
gh282,SRID=4326;POINT(-0.2407591 11.1091506)
gh283,SRID=4326;POINT(-0.2365925 11.1091506)
gh284,SRID=4326;POINT(-0.2324258 11.1091506)
